doc_id,Review_Date,Reviewer_Score,Tags,Total_Number_of_Reviews_Reviewer_Has_Given,TripType_Leisure,Comp_Group,Comp_Solo,Comp_Family,Submit_Mobile,month_idx,Season_Spring,Season_Summer,Season_Autumn,reviewer_activity_z
42,2017-01-04,9.2,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room with Courtyard View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",19,1,0,1,0,1,1,0,0,0,1.2702175184769446
43,2016-01-26,10.0,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",12,1,0,0,0,1,1,0,0,0,0.5559816256872738
44,2016-01-04,8.3,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']",1,1,1,0,0,0,1,0,0,0,-0.566389062982209
45,2017-01-29,6.3,"[' Business trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,0,0,1,0,1,1,0,0,0,-0.566389062982209
46,2016-01-27,8.3,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,1,0,0,0,1,1,0,0,0,-0.464355364012256
47,2016-01-20,7.9,"[' Leisure trip ', ' Couple ', ' Standard Room with Spa access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
48,2017-01-26,9.6,"[' Leisure trip ', ' Travelers with friends ', ' Large Canal View King ', ' Stayed 1 night ', ' Submitted from a mobile device ']",5,1,0,0,0,1,1,0,0,0,-0.1582542671023971
49,2017-01-31,10.0,"[' Leisure trip ', ' Family with young children ', ' Double Room with Two Double Beds ', ' Stayed 1 night ']",15,1,0,0,1,0,1,0,0,0,0.8620827225971327
50,2016-01-10,7.5,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ']",4,1,0,0,0,0,1,0,0,0,-0.26028796607235005
51,2017-01-24,7.5,"[' Group ', ' Standard Room with Queen Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,0,1,0,0,1,1,0,0,0,-0.566389062982209
52,2017-01-20,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
53,2017-01-24,6.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 2 nights ']",10,1,0,1,0,0,1,0,0,0,0.3519142277473678
54,2016-01-03,3.8,"[' Business trip ', ' Solo traveler ', ' Compact Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7,0,0,1,0,1,1,0,0,0,0.045813130837508875
55,2016-01-26,10.0,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",2,1,0,0,0,0,1,0,0,0,-0.464355364012256
56,2017-01-20,9.6,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,1,0,0,0,1,1,0,0,0,-0.464355364012256
57,2016-01-28,8.3,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",4,1,0,0,0,1,1,0,0,0,-0.26028796607235005
58,2017-01-24,10.0,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 1 night ']",2,1,0,0,1,0,1,0,0,0,-0.464355364012256
59,2016-01-03,3.8,"[' Leisure trip ', ' Family with older children ', ' Studio Triple ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",3,1,0,0,0,1,1,0,0,0,-0.36232166504230306
60,2017-01-09,7.5,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ']",10,0,0,1,0,0,1,0,0,0,0.3519142277473678
61,2016-01-17,8.8,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",79,1,0,0,0,1,1,0,0,0,7.392239456674123
62,2017-01-07,9.6,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double or Twin Room 2 adults 1 child ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,1,0,0,1,1,1,0,0,0,-0.566389062982209
63,2017-01-02,10.0,"[' Leisure trip ', ' Couple ', ' Classic King Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3,1,0,0,0,1,1,0,0,0,-0.36232166504230306
64,2017-01-06,6.7,"[' Leisure trip ', ' Family with young children ', ' King Plaza Executive Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",22,1,0,0,1,1,1,0,0,0,1.5763186153868036
65,2017-01-13,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ']",8,1,0,0,0,0,1,0,0,0,0.14784682980746186
66,2016-01-31,8.8,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
67,2017-01-23,7.1,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 1 night ']",12,1,0,0,1,0,1,0,0,0,0.5559816256872738
68,2017-01-30,9.6,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",9,1,0,0,1,1,1,0,0,0,0.24988052877741485
69,2017-01-16,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3,1,0,0,0,1,1,0,0,0,-0.36232166504230306
70,2017-01-07,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",12,1,0,0,0,1,1,0,0,0,0.5559816256872738
71,2017-01-23,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
72,2017-01-05,8.8,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ']",2,1,1,0,0,0,1,0,0,0,-0.464355364012256
73,2016-01-03,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
74,2016-01-26,10.0,"[' Leisure trip ', ' Family with older children ', ' Deluxe King or Twin Room ', ' Stayed 1 night ']",17,1,0,0,0,0,1,0,0,0,1.0661501205370387
75,2017-01-30,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
76,2017-01-10,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Room with City View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
77,2017-01-09,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 14 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,1,0,0,0,-0.566389062982209
78,2016-01-10,10.0,"[' Leisure trip ', ' Family with young children ', ' Executive Family Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",13,1,0,0,1,1,1,0,0,0,0.6580153246572268
79,2016-01-16,6.7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",11,1,0,0,0,0,1,0,0,0,0.4539479267173208
80,2016-01-17,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,1,0,0,0,1,1,0,0,0,-0.464355364012256
81,2017-01-05,8.8,"[' Leisure trip ', ' Couple ', ' Premier Double Room ', ' Stayed 1 night ']",1,1,0,0,0,0,1,0,0,0,-0.566389062982209
82,2017-01-10,9.6,"[' Leisure trip ', ' Couple ', ' Superior King Room Barlow Wing ', ' Stayed 2 nights ']",5,1,0,0,0,0,1,0,0,0,-0.1582542671023971
83,2017-02-28,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
84,2016-02-01,5.8,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",15,0,0,1,0,0,2,0,0,0,0.8620827225971327
85,2017-02-08,8.3,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 1 night ']",6,1,0,0,0,0,2,0,0,0,-0.05622056813244411
86,2017-02-23,10.0,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']",1,0,0,1,0,0,2,0,0,0,-0.566389062982209
87,2016-02-10,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",4,1,0,0,0,0,2,0,0,0,-0.26028796607235005
88,2016-02-24,9.6,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
89,2017-02-27,7.9,"[' Business trip ', ' Solo traveler ', ' Standard Room with 1 Double Bed ', ' Stayed 1 night ']",4,0,0,1,0,0,2,0,0,0,-0.26028796607235005
90,2017-02-22,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
91,2017-02-13,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,1,0,0,0,1,2,0,0,0,-0.464355364012256
92,2017-02-24,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,1,0,0,0,1,2,0,0,0,-0.464355364012256
93,2016-02-16,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Guestroom ', ' Stayed 1 night ']",1,1,0,0,0,0,2,0,0,0,-0.566389062982209
94,2017-02-27,3.8,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",8,1,0,1,0,0,2,0,0,0,0.14784682980746186
95,2017-02-20,8.3,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 4 nights ']",18,1,0,1,0,0,2,0,0,0,1.1681838195069916
96,2016-02-27,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",7,1,0,0,0,0,2,0,0,0,0.045813130837508875
97,2016-02-28,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Bridge View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,1,0,0,0,1,2,0,0,0,-0.464355364012256
98,2016-02-24,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
99,2016-02-18,10.0,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10,1,0,0,0,1,2,0,0,0,0.3519142277473678
100,2017-02-05,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",5,1,0,1,0,0,2,0,0,0,-0.1582542671023971
101,2017-02-05,9.2,"[' Leisure trip ', ' Solo traveler ', ' Studio Double Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",3,1,0,1,0,1,2,0,0,0,-0.36232166504230306
102,2016-02-02,10.0,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
103,2016-02-29,10.0,"[' Leisure trip ', ' Couple ', ' Double Room with Courtyard View ', ' Stayed 3 nights ']",3,1,0,0,0,0,2,0,0,0,-0.36232166504230306
104,2016-02-21,9.2,"[' Business trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",8,0,0,0,0,1,2,0,0,0,0.14784682980746186
105,2016-02-09,8.8,"[' Business trip ', ' Solo traveler ', ' Executive Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,0,0,1,0,1,2,0,0,0,-0.566389062982209
106,2017-02-06,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 1 night ']",1,1,0,1,0,0,2,0,0,0,-0.566389062982209
107,2017-02-15,7.1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",5,1,0,0,0,1,2,0,0,0,-0.1582542671023971
108,2016-02-25,10.0,"[' Business trip ', ' Group ', ' Superior Double Room ', ' Stayed 1 night ']",6,0,1,0,0,0,2,0,0,0,-0.05622056813244411
109,2017-02-07,8.3,"[' Business trip ', ' Solo traveler ', ' Double Room 1 2 Adults ', ' Stayed 5 nights ']",5,0,0,1,0,0,2,0,0,0,-0.1582542671023971
110,2017-02-24,7.5,"[' Business trip ', ' Group ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,0,1,0,0,1,2,0,0,0,-0.26028796607235005
111,2016-02-01,9.6,"[' Leisure trip ', ' Couple ', ' Double Room Non Smoking ', ' Stayed 2 nights ']",2,1,0,0,0,0,2,0,0,0,-0.464355364012256
112,2017-02-06,7.5,"[' Leisure trip ', ' Solo traveler ', ' Double Hilton Guestroom ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,1,0,1,0,1,2,0,0,0,-0.464355364012256
113,2017-02-17,7.9,"[' Leisure trip ', ' Family with young children ', ' Standard Family Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,1,1,2,0,0,0,-0.566389062982209
114,2017-02-20,10.0,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",2,1,1,0,0,1,2,0,0,0,-0.464355364012256
115,2017-02-01,7.1,"[' Leisure trip ', ' Couple ', ' Club Twin Room ', ' Stayed 5 nights ']",5,1,0,0,0,0,2,0,0,0,-0.1582542671023971
116,2016-02-23,10.0,"[' Leisure trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",13,1,0,1,0,1,2,0,0,0,0.6580153246572268
117,2017-02-22,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",11,0,0,1,0,1,2,0,0,0,0.4539479267173208
118,2017-02-18,8.8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
119,2017-02-08,9.6,"[' Leisure trip ', ' Solo traveler ', ' Basic Double Room ', ' Stayed 4 nights ']",1,1,0,1,0,0,2,0,0,0,-0.566389062982209
120,2017-02-07,10.0,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,1,0,1,0,1,2,0,0,0,-0.566389062982209
121,2016-02-23,9.2,"[' Leisure trip ', ' Couple ', ' Standard Triple Room ', ' Stayed 1 night ']",2,1,0,0,0,0,2,0,0,0,-0.464355364012256
122,2016-02-02,8.8,"[' Leisure trip ', ' Couple ', ' City King or Twin Room ', ' Stayed 2 nights ']",2,1,0,0,0,0,2,0,0,0,-0.464355364012256
123,2016-02-25,7.1,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ']",18,0,0,1,0,0,2,0,0,0,1.1681838195069916
124,2016-02-21,6.3,"[' Business trip ', ' Solo traveler ', ' Superior Single Room ', ' Stayed 1 night ']",68,0,0,1,0,0,2,0,0,0,6.269868768004641
125,2017-02-28,9.2,"[' Business trip ', ' Couple ', ' Queen Room ', ' Stayed 3 nights ']",3,0,0,0,0,0,2,0,0,0,-0.36232166504230306
126,2017-02-06,5.4,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,1,0,1,2,0,0,0,-0.566389062982209
127,2016-02-14,8.8,"[' Business trip ', ' Solo traveler ', ' Standard Room with 1 Single Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,0,0,1,0,1,2,0,0,0,-0.464355364012256
128,2017-02-20,8.3,"[' Leisure trip ', ' Family with young children ', ' Discovery Double Room ', ' Stayed 2 nights ']",1,1,0,0,1,0,2,0,0,0,-0.566389062982209
129,2017-02-01,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room Annex ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",5,1,0,0,0,1,2,0,0,0,-0.1582542671023971
130,2017-02-21,9.2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']",1,1,0,0,0,0,2,0,0,0,-0.566389062982209
131,2016-02-02,7.5,"[' Leisure trip ', ' Couple ', ' Treat your Partner Package Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",4,1,0,0,0,1,2,0,0,0,-0.26028796607235005
132,2017-02-06,8.8,"[' Leisure trip ', ' Solo traveler ', ' Classic Room with Queen Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,1,0,1,0,1,2,0,0,0,-0.566389062982209
133,2017-02-24,10.0,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 6 nights ']",1,1,1,0,0,0,2,0,0,0,-0.566389062982209
134,2017-02-04,5.8,"[' Business trip ', ' Solo traveler ', ' Double Room Free Wi Fi ', ' Stayed 4 nights ']",1,0,0,1,0,0,2,0,0,0,-0.566389062982209
135,2017-02-26,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",4,1,0,0,0,1,2,0,0,0,-0.26028796607235005
136,2016-02-18,10.0,"[' Leisure trip ', ' Group ', ' Double or Twin Room 1 2 Adults ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",5,1,1,0,0,1,2,0,0,0,-0.1582542671023971
137,2016-02-09,9.2,"[' Leisure trip ', ' Family with older children ', ' Standard Family Room ', ' Stayed 1 night ']",22,1,0,0,0,0,2,0,0,0,1.5763186153868036
138,2016-02-09,7.9,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ']",2,1,0,0,0,0,2,0,0,0,-0.464355364012256
139,2016-02-05,9.2,"[' Leisure trip ', ' Couple ', ' King Room Non Smoking ', ' Stayed 1 night ', ' Submitted from a mobile device ']",5,1,0,0,0,1,2,0,0,0,-0.1582542671023971
140,2016-02-03,7.9,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 4 nights ']",2,0,0,1,0,0,2,0,0,0,-0.464355364012256
141,2016-02-18,7.1,"[' Leisure trip ', ' Family with older children ', ' Executive Family Room ', ' Stayed 1 night ']",12,1,0,0,0,0,2,0,0,0,0.5559816256872738
142,2016-02-18,7.9,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,1,0,0,0,1,2,0,0,0,-0.566389062982209
143,2017-02-09,9.6,"[' Leisure trip ', ' Solo traveler ', ' Club Room ', ' Stayed 2 nights ']",3,1,0,1,0,0,2,0,0,0,-0.36232166504230306
144,2017-02-10,9.6,"[' Business trip ', ' Solo traveler ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,0,0,1,0,1,2,0,0,0,-0.566389062982209
145,2016-02-17,9.6,"[' Family with older children ', ' Twin Room ', ' Stayed 5 nights ']",1,0,0,0,0,0,2,0,0,0,-0.566389062982209
