Review_Date,Positive_Review,Negative_Review,Reviewer_Score,Tags,Total_Number_of_Reviews_Reviewer_Has_Given,days_since_review,month_idx,days_num,doc_id
2017-01-16,The comfort of the room and how close it was to the tube station,Position of the tv and lack of mirror at desk to be able to dry and straighten hair,8.8,"[' Leisure trip ', ' Family with young children ', ' City King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,199 day,1,199,25
2017-01-02,Most amenities needed were there Very polite and welcoming staff at reception Right above underground station,Furniture a bit scruffy Coffee table even a small one would be nice Bit pricey,8.3,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",37,213 day,1,213,26
2016-01-26,Everything,No Negative,9.6,"[' Business trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10,555 day,1,555,27
2017-01-20,The room,The spa was closed all the time,7.5,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",6,195 day,1,195,28
2017-01-27,No Positive,Bottles of water werent replaced and sheets werent changed every two days we had to ask for it,8.3,"[' Business trip ', ' Family with young children ', ' Deluxe Junior Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,188 day,1,188,29
2017-01-10,We took the upgrade for larger suite and to use the business lounge for breakfast afternoon tea evening canopes and drinks which we enjoyed and is great value for money I liked that there was TV in the bathroom in our suite Plenty of space clean and comfy beds Great stay in a convenient location for the theatre,Scones at the afternoon tea were just a little dry Still very tasty but could have been fresher,10,"[' Leisure trip ', ' Couple ', ' Queen Hilton Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",6,205 day,1,205,30
2017-01-01,Proximity to St Pancras,No heating in one room Continental breakfast only,6.3,"[' Leisure trip ', ' Couple ', ' Double Suite ', ' Stayed 1 night ']",6,214 day,1,214,31
2017-01-09,Good location for shopping and sightseeing,No Negative,7.5,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,206 day,1,206,32
2016-01-11,A very well appointed unusual room with great facilities,No Negative,7.9,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",23,570 day,1,570,33
2016-01-10,Nice room,Really small bathroom bug box under the bedroom which makes you think there are infected,5,"[' Leisure trip ', ' Couple ', ' Double Room with Street View ', ' Stayed 1 night ', ' Submitted from a mobile device ']",16,571 day,1,571,34
2016-01-04,Great location this new modern hotel provides clean spacious rooms with large clean bathrooms Valet parking is limited but car park was only 10 minutes walk away and we were able to unload load our luggage Breakfast reasonably priced for city hotel and nice lounge area for a casual drink Would highly recommend for special occasion,No Negative,9.2,"[' Leisure trip ', ' Couple ', ' Standard ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,577 day,1,577,35
2016-01-12,GREAT LOCATION FIRST CLASS ATTENTION FROM ALL STAFF TRANSPORT ARRANGED TO AND FROM AIRPORT AS PER MY REQUEST THANK YOU GARY,No Negative,9.6,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ']",1,569 day,1,569,36
2017-01-30,Location Only a few minutes walk from the tubexperts,Basement room was the noisiest room I ve ever stayed in The noise from upstairs all night was horrendous and in the morning when breakfast started it was even worse,6.7,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",7,185 day,1,185,37
2016-01-20,Great location,Beds hard bar expensive breakfast expensive so ate out,8.3,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,561 day,1,561,38
2016-01-07,No Positive,i was charged city tax twice once when payment was taken and a second time when we left the hotel,5.8,"[' Leisure trip ', ' Couple ', ' Large Twin Room ', ' Stayed 2 nights ']",1,574 day,1,574,39
2016-01-02,Close to metro station but not so close to the center Smiling helpful staff Good breakfast in fairly relaxed timing Comfortable bed nice clean spacious rooms Peaceful and quiet surroundings Basic shopping facilities nearby,Nothing too bad Wi fi not functioning very well Had to ask for towels shampoo and stuff to be completed one or two times Generally negligible,8.3,"[' Leisure trip ', ' Couple ']",14,579 day,1,579,40
2017-01-29,Location is not bad price is good staff are helpful,It was noisy inside the room at night I could hear water running through pipes all the time The design makes it look a bit less clean that what it may be there is no enough lighting in the room I understand it s part of the design but you should have the option to have full light whenever needed,7.1,"[' Leisure trip ', ' Solo traveler ', ' Superior Designer ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",21,186 day,1,186,41
2017-01-04,Excellent location Train and metro stations and louvre museum within walking distance Many eating places ard hotel Extremely comfy bed Provided luggage rack toiletries bathrobes and slippers Also pleasantly surprised by free evian water and coffee tea gryphon tea making facilities Oh and the lovely complimentary chocolates and note on New year day,No fridge Could barely put anything on the very small desk Tiny room,9.2,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room with Courtyard View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",19,211 day,1,211,42
2016-01-26,Bed was very comfortable I was able to have the best sleep in awhile In addition included with the breakfast was free mimosas,No Negative,10,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",12,555 day,1,555,43
2016-01-04,Great location lovely hotel,Staff not very helpful when asking for advice of where to go what to do about Paris over new years eve,8.3,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 3 nights ']",1,577 day,1,577,44
2017-01-29,Staff were friendly and helpful Very central to everything,No other food available apart from breakfast which is disappointing if you come back late from a meeting don t want to go out then there should be 24 hour food service Need a variety on breakfast buffet everyday was the same No gym,6.3,"[' Business trip ', ' Solo traveler ', ' Standard Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,186 day,1,186,45
2016-01-27,The staff were excellent,Mattress not great Springs uncomfortable We have an excellent mattress at home so don t want to have anything less,8.3,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,554 day,1,554,46
2016-01-20,Amazing location staff very friendly,Rooms look better and internet picturs and the Internet s signal was very poor in our room,7.9,"[' Leisure trip ', ' Couple ', ' Standard Room with Spa access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,561 day,1,561,47
2017-01-26,Excellent staff service modern and chic decoration,No Negative,9.6,"[' Leisure trip ', ' Travelers with friends ', ' Large Canal View King ', ' Stayed 1 night ', ' Submitted from a mobile device ']",5,189 day,1,189,48
2017-01-31,More choice for breakfast on menus easy to get too literally a two minute walk from tube and same for the cable car,There was nothing ok the weather it rained,10,"[' Leisure trip ', ' Family with young children ', ' Double Room with Two Double Beds ', ' Stayed 1 night ']",15,184 day,1,184,49
2016-01-10,the relaxing lounge and tea room,did t relise it was goin to be so far out of town,7.5,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 2 nights ']",4,571 day,1,571,50
2017-01-24,No Positive,I paid and asked for a room with a double bed and sofa bed and I get two single beds I wasn t impressed I also waited 4 hours to be checked in and still didtn get the room I paid for,7.5,"[' Group ', ' Standard Room with Queen Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,191 day,1,191,51
2017-01-20,Location,The shower head fell off onto me,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,195 day,1,195,52
2017-01-24,Excellent location Plentiful breakfast Good bed Coffee and tea offered Light blocking curtains,Corporate hotel syndrome nothing is very bad but nothing very good either Faceless beige room robotic staff ridiculously overdesigned shower and security box a demand to hand over guarantee of 50 euro plus full price when checking in clean looking at first glance but an inch of dust on the radiators which they expect visitors to see as you have to turn them on so probably not all that clean at all In fact my room was not cleaned on my second day there even though I did not use a do not disturb sign had to call housekeeping to change my towels Generally I got the impression of inadequate staff very likely to be inadequately paid,6.3,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 2 nights ']",10,191 day,1,191,53
2016-01-03,Noting Just location,Very bad and small rooms Payment sistem in hotel didn t accept visa electron card But before that when I booked room they accept,3.8,"[' Business trip ', ' Solo traveler ', ' Compact Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",7,578 day,1,578,54
2016-01-26,Lovely room and facilities within it Made the extra effort as we were there to celebrate an anniversary,None I wish to highlight,10,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 2 nights ']",2,555 day,1,555,55
2017-01-20,We stayed in a suite the room was very clean and decorated to a high standard the hotel is elegant the main entrance is pleasing on the eye The bed very comfortable We was left a complimentary bottle of champagne which we found was a nice touch we found the staff professional and friendly The atmosphere of the reunion bar was bubbly and the interior exceptional,Bath tube not holding water and was making it difficult to use a bath bomb for my girlfriend,9.6,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']",2,195 day,1,195,56
2016-01-28,Location breakfast is good staff assistance excellent,The stairs and the lift,8.3,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",4,553 day,1,553,57
2017-01-24,Great everything big rooms comfy beds great shower and great wines,No Negative,10,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 1 night ']",2,191 day,1,191,58
2016-01-03,No Positive,Staff in terms of their rudeness and unwillingness to assist No apologies made for their own mistakes or incompetence,3.8,"[' Leisure trip ', ' Family with older children ', ' Studio Triple ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",3,578 day,1,578,59
2017-01-09,Great location top floor rooms beautiful two story lofts with incredible view of Madeleine,No Negative,7.5,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ']",10,206 day,1,206,60
2016-01-17,All very modern conveniences in the rooms Good breakfast hot breakfast for an additional charge was available and the staff were polite and efficient,No Negative,8.8,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",79,564 day,1,564,61
2017-01-07,Everything was spot on specially breakfast was amazing big choice of food for any taste Staff members r very friendly and helpful,The only issue for us that there wasn t any tea spoons and small plates in the room But were given when requested,9.6,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double or Twin Room 2 adults 1 child ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",1,208 day,1,208,62
2017-01-02,Service was wonderful The staff were there 24 7 when we needed them Wrote welcome cards rang our room checking everything ok drew our curtains at night adding mince pies and water next to our bed Amazing,I didn t like we had to leave,10,"[' Leisure trip ', ' Couple ', ' Classic King Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3,213 day,1,213,63
2017-01-06,Room is clean location was great,Breakfast is bad and receptionis is not nice,6.7,"[' Leisure trip ', ' Family with young children ', ' King Plaza Executive Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",22,209 day,1,209,64
2017-01-13,Delicious breakfast Great lounging area Really comfortable bed Excellent shower Really helpful pleasant staff All extras needed in room,Bed pillows not firm enough for me,9.6,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ']",8,202 day,1,202,65
2016-01-31,Excellent service,Room was too warm,8.8,"[' Leisure trip ', ' Family with older children ', ' Deluxe Double Room with Two Double Beds ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,550 day,1,550,66
2017-01-23,No Positive,cool water,7.1,"[' Leisure trip ', ' Family with young children ', ' Superior Room ', ' Stayed 1 night ']",12,192 day,1,192,67
2017-01-30,Great location and view,No Negative,9.6,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",9,185 day,1,185,68
2017-01-16,Excellent breakfast with plenty of healthy options,No Negative,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",3,199 day,1,199,69
2017-01-07,Great toiletries slippers bed and bedding and tea,Stayed in a club room it was small compared to executive rooms in many other hotels The bathroom too small too No natural light in the room a small window Decor could be better there was only one mirror in the room by the desk Would have liked to have a separate shower too The desk area was taken up by the telephone mobile and sound speaker Was not told that the hotel has a steamroom and sauna before or during my stay,7.5,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",12,208 day,1,208,70
2017-01-23,The staff were excellent friendly and helpful They upgraded us to a better room and allowed us to check in early The location was superb with the convenience of the tube on your doorstep Hotel was fantastic,Nothing,10,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,192 day,1,192,71
2017-01-05,Comfortable bed Clean and nice bathroom Love the buffet breakfast The hotel is right next to the train station,It would ve been better if there were a set of kettle and tea coffee sachets in the room,8.8,"[' Leisure trip ', ' Group ', ' Double Room ', ' Stayed 2 nights ']",2,210 day,1,210,72
2016-01-03,Loved the view from our room and staff welcomed us very well with a complimentary upgrade as we were celebrating a special birthday,we didn t want to leave,9.6,"[' Leisure trip ', ' Couple ', ' Superior Double Room with Internal View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,578 day,1,578,73
2016-01-26,Great location Fantastic Staff all very helpful and very friendly great bar and restaurant Added bonus we met Mark Noble before the west ham man city game,No Negative,10,"[' Leisure trip ', ' Family with older children ', ' Deluxe King or Twin Room ', ' Stayed 1 night ']",17,555 day,1,555,74
2017-01-30,Customer service was above beyond my expectations,Beautiful clean comfy room,10,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,185 day,1,185,75
2017-01-10,Amazing view World class Staff the DJ at night in the lounge,No Negative,10,"[' Leisure trip ', ' Couple ', ' Deluxe Room with City View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",1,205 day,1,205,76
2017-01-09,A bath is nice to relax,No Negative,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 14 nights ', ' Submitted from a mobile device ']",1,206 day,1,206,77
2016-01-10,Everything was perfect The breakfast was more than I had expected and very good The rooms were clean and the beds comfortable The staff was really helpful and professional We arrived early and left our bags in the luggage room When we came to the hotel at night our bags had been taken to our room great service,Absolutely nothing,10,"[' Leisure trip ', ' Family with young children ', ' Executive Family Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",13,571 day,1,571,78
2016-01-16,No Positive,Room TV not working Loose tiles in the bathroom Very small room,6.7,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ']",11,565 day,1,565,79
2016-01-17,The location was great the staff was excellent plus we had a free upgrade,No Negative,9.6,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,564 day,1,564,80
2017-01-05,Staff were very friendly and welcoming and gave a personal touch to my stay,Would have liked a bath tub as well as shower Also not sure why breakfast was not included in booking considering the price paid and didn t see the option to include when booking,8.8,"[' Leisure trip ', ' Couple ', ' Premier Double Room ', ' Stayed 1 night ']",1,210 day,1,210,81
2017-01-10,room large bed comfy staff very friendly very clean nice toileteries,the cost of wifi the booking hall restaurant ran out off two dishes before 19 30 on a sunday evening beer battered cod and lemon sole,9.6,"[' Leisure trip ', ' Couple ', ' Superior King Room Barlow Wing ', ' Stayed 2 nights ']",5,205 day,1,205,82
2017-02-28,We really liked the location of the hotel it is one train away 8 10mins from the amsterdam central which is perfect for those who would like to rest well after a long day Our room was at the 6th floor if i could remember it well it was very quiet aside from our last night in the hotel maybe that was past 3 in the morning and i heard someone moaning quite loudly LOL didnt last long so that should be fine i think haha then the staffs were polite and helpful the room was big enough for two persons i really love the rain shower in the bathroom and the room was clean during our stay,first the double bed two single beds put together which has given me the difficulty to sleep i swear i didnt sleep the first night i had back and neckpain the pillows are square not the usual shape of a pillow which were also either very big or very flat pls improve that the other thing is the receptionist made us pay the water that she said we will find in the fridge but was empty when we entered the room last thing is the bathroom light is too dim it was quite hard to do your make up there,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,156 day,2,156,83
2016-02-01,1 Location less than 100m to Stephansplatz and the metro station 2 Acceptable breakfast,1 Hotel is rather outdated in terms of carpet and furniture 2 Access to the room is rather difficult if you like mazes you actually may enjoy the strange access system 3 I asked for a room with a nice view and I got one at 1st floor with view towards other rooms at less than 20m no privacy 4 No heating during the night it is very cold in the room 5 I asked for ironing service offered by the Hotel but I could not pay it by card cash only,5.8,"[' Business trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']",15,549 day,2,549,84
2017-02-08,Reception staff very helpful on several occasions,No Negative,8.3,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 1 night ']",6,176 day,2,176,85
2017-02-23,Very central with easy access to public transport and restaurants Superb staff and very comfortable rooms,No Negative,10,"[' Business trip ', ' Solo traveler ', ' Basic Single Room ', ' Stayed 1 night ']",1,161 day,2,161,86
2016-02-10,Very helpful reception staff Excellent breakfast choices,The pillows smelled a bit fousty,9.2,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",4,540 day,2,540,87
2016-02-24,Location Value for money Freindly,Unfortunately lift was broken,9.6,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,526 day,2,526,88
2017-02-27,location,wifi,7.9,"[' Business trip ', ' Solo traveler ', ' Standard Room with 1 Double Bed ', ' Stayed 1 night ']",4,157 day,2,157,89
2017-02-22,No Positive,Very hot room Very poor air conditioning Even with window open was far to hot Sweating will getting ready in the morning,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",1,162 day,2,162,90
2017-02-13,The price was reasonable for the location and for the room The mattress was great That shower though Great bathroom and great access to the restaurant Steak cooked to perfection even half an hour before closing time,That only things I recall not liking were the pillows being to large and the duvet being to heavy Which sounds stupid I know Oh and the only other thing was that it was hard to regulate the temperature in the room at night as the AC wasn t shifting at all,9.2,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,171 day,2,171,91
2017-02-24,Friendly staff clean and well kept property Indian restaurant round the corner was good,Bed too hard Restaurant in hotel not great Breakfast overpriced so we went elsewhere,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,160 day,2,160,92
2016-02-16,The breakfast,Being made to wait in the foyer for half an hour for our room to be prepared The cleanliness tide mark round the sink The size of the room for the money paid wasn t a pleasant stay really,4.2,"[' Leisure trip ', ' Couple ', ' Deluxe Queen Guestroom ', ' Stayed 1 night ']",1,534 day,2,534,93
2017-02-27,The location is great It was a lovely building once upon a time,Advertised as 4 star hotel hardly worthy of 2 The entire hotel is in desperate need of maintenance and updating Some staff great the rest can t understand English The most serious issue is the fact that disabled people have to use a side door once the furniture is moved out of the way due to the age of the building that is not the problem and some staff are unable to open this door If there is to be a fire The breakfast I asked for bacon sausage and a fried egg Got bacon and sausage as well as beans mushroom tomato hash brown and scrambled egg Asked for fried egg again still waiting for it,3.8,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 3 nights ']",8,157 day,2,157,94
2017-02-20,Great location good neighbourhood nice rooms,No Negative,8.3,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 4 nights ']",18,164 day,2,164,95
2016-02-27,Helpful pleasant staff Cleanliness of room and whole hotel Convenient spot for trains and tube,No Negative,9.6,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']",7,523 day,2,523,96
2016-02-28,All Staff were very helpful and friendly From the cleaners the breakfast staff to the concierge and the ladies on reception very important and you are getting it right Excellent view of tower bridge and the river Nice view over the quay boats at breakfast We felt very relaxed during our stay We would stay again,Breakfast was a little variable coffee my usual breakfast tipple I have to say was awful so I switched to tea Some of the hot breakfast was a little cool Otherwise ok,8.3,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Bridge View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",2,522 day,2,522,97
2016-02-24,The design the reception staffs the half board package and of course the location,The dining area too busy and too few staffs I had to ask the staffs a couple of times and it took me about 20mins for just a glass of paid wine Staffs were nice but they were awfully busy,7.5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",1,526 day,2,526,98
2016-02-18,Great location staff happy and helpful bed very comfy Not a great view from our window but ok for 1 night 2nd time we have stayed and will stay again,No Negative,10,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",10,532 day,2,532,99
2017-02-05,It was a really nice stay Breakfast was so tasty delicious coffee orange juice etc Room was clean with very comfortable beds Staff was helpful and nice,wi fi signal was not good,8.8,"[' Leisure trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",5,179 day,2,179,100
2017-02-05,Great hotel location and room facilities,It seemed that the walls were thin and wifi was a little slow,9.2,"[' Leisure trip ', ' Solo traveler ', ' Studio Double Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",3,179 day,2,179,101
2016-02-02,The staff were very nice and polite The services the hotel provide are above and beyond the money that we paid The terrace bar is especially lovely and the staff in there are excellent The views from the terrace bar are breath taking,No Negative,10,"[' Leisure trip ', ' Couple ', ' Comfort Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']",1,548 day,2,548,102
